,COD_IBGE,POPULACAO_2019,qtd_obitos_ate_um_ano_2019,qtd_NASC_2019,qtd_nasc_7_mais_consultas_2019,qtd_nasc_baixo_peso_2019,qtd_OBITOS_2019,qtd_obitos_homicidio_2019,qtd_obitos_acidente_2019,qtd_obitos_suicidios_2019,qtd_obitos_agressoes_2019,qtd_obitos_maternos_2019,qtd_nasc_maes_10_14_2019,qtd_nasc_maes_15_17_2019,tx_mortalidade_infantil_2019,tx_nasc_7_mais_consultas_2019,tx_nasc_baixo_peso_2019,tx_obitos_2019,tx_obitos_homicidio_2019,tx_obitos_acidente_2019,tx_obitos_suicidio_2019,tx_obitos_agressoes_2019,tx_obitos_maternos_diretos_2019,tx_nasc_mae_10_14_2019,tx_nasc_mae_15_17_2019,PVA_AGR_2018,PVA_IND_2018,PVA_SERV_2018,PVA_ADM_2018,VAB_2018,IMP_PRDT_2018,PIB_2018,PIBPC_2018,ATV_VAB1_2018,ATV_VAB2_2018,ATV_VAB3_2018,vapc_2018,PESCADUNICO_TOT_07_2021,PESCADUNICO_PCD_07_2021,PESCADUNICO_SIT_EXT_POBREZA_07_2021,PESCADUNICO_SIT_POBREZA_07_2021,tx_PESCADUNICO_PCD_07_2021,tx_PESCADUNICO_SIT_EXT_POBREZA_07_2021,tx_PESCADUNICO_SIT_POBREZA_07_2021,qtd_INTERNACOES_2019,int_drsai_2019,tx_interdrsai_2019,int_sap_2019,tx_intersap_2019,MSAU01_2018,MSAU10_2018,MSAU101A_2018,MSAU101B_2018,MSAU102_2018,MSAU111_2018,MSAU112_2018,MSAU113_2018,MSAU114_2018,MSAU12_2018,MSAU13_2018,MSAU141_2018,MSAU142_2018,MSAU143_2018,MSAU15_2018,MSAU1511_2018,MSAU1512_2018,MSAU1513_2018,MSAU1514_2018,MSAU1515_2018,MSAU1516_2018,MSAU1517_2018,MSAU1518_2018,MSAU1519_2018,MSAU161_2018,MSAU162_2018,MSAU163_2018,MSAU164_2018,MSAU165_2018,MSAU166_2018,MSAU167_2018,MSAU168_2018,MSAU169_2018,MSAU1610_2018,MSAU1611_2018,MSAU1612_2018,MSAU1613_2018,MSAU17_2018,MSAU18_2018,MSAU181_2018,MSAU19_2018,MSAU191_2018,MSAU20_2018,MSAU201_2018,MSAU21_2018,MSAU22_2018,MSAU2211_2018,MSAU2212_2018,MSAU2213_2018,MSAU2214_2018,MSAU2215_2018,MSAU2216_2018,MSAU2217_2018,MSAU23_2018,MSAU24_2018,MSAU25_2018,MSAU26_2018,MSAU271_2018,MSAU2711_2018,MSAU272_2018,MSAU2721_2018,MSAU273_2018,MSAU274_2018,MSAU2741_2018,MSAU275_2018,MSAU2751_2018,MSAU276_2018,MSAU2761_2018,MSAU277_2018,MSAU2771_2018,MSAU28_2018,MSAU281_2018,MSAU29_2018,MSAU2911_2018,MSAU2912_2018,MSAU2913_2018,MSAU2914_2018,MSAU2915_2018,MSAU30_2018,MSAU3011_2018,MSAU3012_2018,MSAU31_2018,MSAU3111_2018,MSAU3112_2018,MSAU3113_2018,MSAU3114_2018,MSAU3115_2018,MSAU3116_2018,MSAU321_2018,MSAU322_2018,MSAU323_2018,MSAU324_2018,MSAU325_2018,MSAU326_2018,MSAU33_2018,MSAU34_2018,MSAU35_2018,MSAU36_2018,MSAU37_2018,MSAU381_2018,MSAU382_2018,MSAU383_2018,MSAU384_2018,MSAU385_2018,MSAU386_2018,MSAU387_2018,MSAU388_2018,MSAU39_2018,MSAU3911_2018,MSAU3912_2018,MSAU3913_2018,MSAU3914_2018,MSAU3915_2018,MSAU3916_2018,MSAU3917_2018,MSAU3918_2018,MSAU3919_2018,MSAU40_2018,MSAU411_2018,MSAU412_2018,MSAU413_2018,MSAU414_2018,MSAU415_2018,MSAU416_2018,MSAU42_2018,MSAU43_2018,MSAU44_2018,MSAU456_2018,MSAU451_2018,MSAU452_2018,MSAU453_2018,MSAU454_2018,MSAU455_2018,MSAU46_2018,MSAU47_2018,MSAU48_2018,MSAU49_2018,MSAU491_2018,MSAU4911_2018,MSAU50_2018,MSAU501_2018,MSAU51_2018,MSAU51111_2018,MSAU51112_2018,MSAU51121_2018,MSAU51122_2018,MSAU51131_2018,MSAU51132_2018,MSAU521_2018,MSAU5211_2018,MSAU522_2018,MSAU5221_2018,MSAU53_2018,MSAU541_2018,MSAU542_2018,MSAU543_2018,MSAU544_2018,mun_MUNNOME,mun_MUNNOMEX,mun_AMAZONIA,mun_FRONTEIRA,mun_CAPITAL,mun_UFCOD,mun_MSAUDCOD,mun_RSAUDCOD,mun_CSAUDCOD,mun_ANOEXT,mun_SUCESSOR,mun_LATITUDE,mun_LONGITUDE,mun_ALTITUDE,mun_AREA,mun_codigo_adotado,uf_SIGLA_UF,uf_CODIGO,uf_DESCRICAO,mun_coordenadas
3567,350020,3562,0.0,41.0,38.0,2.0,28,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,92.6829268292683,4.878048780487805,0.7860752386299831,0.0,28.074115665356544,0.0,0.0,0.0,0.0,2.4390243902439024,22647055.0,11020428.0,33365.6,22193631.0,89226714.0,3147005.0,92373.72,25867.75,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita",24986478.0,1837,133,389,173,7.24006532389766,21.175830157866084,9.417528579205223,,,,,,"Setor subordinado diretamente
à chefia do Executivo",Sim,492,2001,Paritário,Não,Sim,Não,Sim,15,16,Não,Sim,-,Não,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,2015,Sim,24,Sim,2017,Não,Não,-,-,-,-,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Sim,2,2,2,8,2,Sim,1,1,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,-,Sim,-,-,-,-,-,Sim,Não,Sim,Outro,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,-,-,Não,-,Não,-,-,-,-,-,-,Não,-,Não,-,Sim,Sim,Sim,Sim,-,Adolfo,ADOLFO,N,N,N,35,3590,3522,35900,,,-21.235,-49.644,443.0,210843.0,350020,SP,35,SAO PAULO,"-21.235,-49.644"
3568,350055,6075,0.0,68.0,56.0,9.0,56,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,82.35294117647058,13.23529411764706,0.9218106995884774,0.0329218106995884,16.46090534979424,0.0,32.92181069958848,0.0,0.0,2.941176470588235,50437315.0,9779954.0,64285.74,34090678.0,158593687.0,8236804.0,166830491.0,27620.94,Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, defesa, educação e saúde públicas e seguridade social",26257233.0,2497,100,1246,264,4.004805766920304,49.899879855827,10.572687224669604,,,,,,Secretaria exclusiva,Sim,979,1993,Paritário,Sim,Não,Não,Sim,4,18,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,2017,Sim,12,Sim,2018,Não,Não,-,-,-,-,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Sim,2,1,2,8,2,Não,,,Não,-,-,-,-,-,-,Não,Não,Não,Não,Sim,-,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Sim,-,Não,Não,Em setor específico na Unidade Básica de Saúde,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,-,-,Não,-,Não,-,-,-,-,-,-,Não,-,Não,-,Sim,Sim,Sim,Sim,-,Águas de Santa Bárbara,AGUAS DE SANTA BARBARA,N,N,N,35,3590,3511,35900,,,-22.881,-49.239,644.0,408471.0,350055,SP,35,SAO PAULO,"-22.881,-49.239"
3569,350075,6025,0.0,80.0,60.0,4.0,44,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,75.0,5.0,0.7302904564315353,0.0,33.19502074688796,16.59751037344398,0.0,0.0,0.0,7.5,30972795.0,7398.26,31981.97,25509294.0,95862318.0,4634974.0,100497292.0,16981.63,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária",16198432.0,1795,135,206,560,7.520891364902507,11.476323119777158,31.19777158774373,,,,,,Secretaria exclusiva,Sim,12,1999,Paritário,Sim,Sim,Não,Sim,5,20,-,-,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,2016,Sim,12,Sim,2018,Sim,Não,-,-,-,-,-,-,-,Não,Sim,Sim,Sim,Não,-,Sim,1,Não,Não,-,Não,-,Não,-,Não,-,Sim,-,Sim,1,2,1,11,1,Sim,1,1,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,-,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,-,Sim,-,-,-,-,-,Sim,Não,Sim,Setor específico do órgão gestor municipal da saúde,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,-,-,Não,-,Não,-,-,-,-,-,-,Não,-,Não,-,Não,Sim,Sim,Não,-,Alambari,ALAMBARI,N,N,N,35,3590,3523,35900,,,-23.551,-47.899,585.0,159190.0,350075,SP,35,SAO PAULO,"-23.551,-47.899"
3570,350090,4160,0.0,45.0,42.0,6.0,28,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,93.33333333333331,13.333333333333334,0.6730769230769231,0.0240384615384615,24.03846153846154,24.03846153846154,24.03846153846154,0.0,2.2222222222222223,11.11111111111111,49937407.0,5355667.0,26115.54,21698401.0,103107015.0,3725.78,106832795.0,25842.48,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",24941223.0,1433,91,401,196,6.350314026517795,27.983251919050943,13.677599441730631,,,,,,Secretaria exclusiva,Sim,973,2009,Tem maior representação da sociedade civil,Não,Sim,Não,Não,11,16,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,2017,Sim,12,Sim,2017,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Sim,1,1,1,8,1,Sim,1,2,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,-,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,Sim,Sim,Sim,Setor específico do órgão gestor municipal da saúde,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,-,-,Não,-,Não,-,-,-,-,-,-,Não,-,Não,-,Sim,Sim,Sim,Não,-,Altair,ALTAIR,N,N,N,35,3590,3509,35900,,,-20.524,-49.059,557.0,316088.0,350090,SP,35,SAO PAULO,"-20.524,-49.059"
3571,350115,18628,5.0,243.0,199.0,23.0,108,0.0,5.0,3.0,1.0,0.0,0.0,13.0,20.5761316872428,81.89300411522635,9.465020576131687,0.5797723856560016,0.0,26.84131415074082,16.104788490444495,5.368262830148164,0.0,0.0,5.349794238683128,901.16,1019461962.0,442603743.0,88405825.0,1551372.69,553731818.0,2105104507.0,113887.93,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Indústrias de transformação,Demais serviços,83930572.0,3522,393,1413,549,11.158432708688244,40.11925042589438,15.587734241908008,,,,,,"Setor subordinado diretamente
à chefia do Executivo",Sim,18,1993,Paritário,Sim,Sim,Não,Sim,10,24,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,2015,Sim,12,Sim,2018,Não,Não,-,-,-,-,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,,,,,,,,,Sim,0,1,1,0,0,1,-,-,-,-,-,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,-,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,-,Sim,-,-,-,-,-,Sim,Sim,Sim,Setor específico do órgão gestor municipal da saúde,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,-,-,Não,-,Não,-,-,-,-,-,-,Não,-,Não,-,Não,Sim,Sim,Sim,-,Alumínio,ALUMINIO,N,N,N,35,3590,3523,35900,,,-23.535,-47.262,790.0,83739.0,350115,SP,35,SAO PAULO,"-23.535,-47.262"
3572,350140,5227,0.0,52.0,39.0,2.0,31,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,75.0,3.8461538461538463,0.5930744212741534,0.0191314329443275,0.0,19.13143294432753,19.13143294432753,0.0,0.0,11.538461538461538,6328492.0,2613598.0,18316864.0,20870824.0,48129778.0,1756702.0,49886.48,9632.45,"Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,"Agricultura, inclusive apoio à agricultura e a pós colheita",9293257.0,2184,112,835,189,5.128205128205128,38.23260073260073,8.653846153846153,,,,,,Secretaria exclusiva,Sim,466,2009,Paritário,Sim,Sim,Sim,Sim,3,24,-,-,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,Não,-,Sim,2013,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2,5,3,12,2,Sim,2,2,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,-,Sim,-,-,-,-,-,Sim,Sim,Sim,Em setor específico na Unidade Básica de Saúde,Não,-,-,-,-,-,Não,Não,Sim,Não,-,-,Não,-,Não,-,-,-,-,-,-,Não,-,Não,-,Não,Sim,Sim,Sim,-,Álvaro de Carvalho,ALVARO DE CARVALHO,N,N,N,35,3590,3514,35900,,,-22.089,-49.719,627.0,152623.0,350140,SP,35,SAO PAULO,"-22.089,-49.719"
3573,350160,239597,24.0,2642.0,2214.0,199.0,1489,15.0,29.0,11.0,13.0,0.0,3.0,61.0,9.084027252081755,83.8001514004542,7.53217259651779,0.6214602019223947,0.0062605124438119,12.103657391369676,4.591042458795394,5.425777451303648,0.0,0.1135503406510219,2.30885692657078,8833.22,2835212556.0,5897597662.0,985881229.0,9727524667.0,1604883501.0,11332408168.0,47793.48,Demais serviços,Indústrias de transformação,Comércio e reparação de veículos automotores e motocicletas,41025021.0,29421,3539,12676,3202,12.028822949593827,43.08487135039598,10.883382617857992,7143.0,82.0,1.147977040459191,310.0,4.339913201735966,Secretaria exclusiva,Sim,2524,1991,Paritário,Sim,Sim,Sim,Sim,13,48,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,2015,Sim,12,Sim,2017,Não,Não,-,-,-,-,-,-,-,Não,Sim,Sim,Sim,Não,-,Não,-,Não,Não,-,Não,-,Não,-,Sim,1,Não,-,Sim,10,27,11,55,10,Sim,4,4,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,-,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,-,Sim,-,-,-,-,-,Sim,Não,Não,Setor específico do órgão gestor municipal da saúde,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,-,-,Sim,1,Sim,2,1,1,0,1,1,Não,-,Não,-,Não,Sim,Sim,Sim,-,Americana,AMERICANA,N,N,N,35,3590,3512,35900,,,-22.739,-47.331,545.0,133630.0,350160,SP,35,SAO PAULO,"-22.739,-47.331"
3574,350190,72195,6.0,834.0,739.0,74.0,553,3.0,12.0,8.0,3.0,0.0,3.0,37.0,7.194244604316547,88.60911270983213,8.872901678657074,0.7659810236165939,0.0041554124246831,16.6216496987326,11.081099799155066,4.15541242468315,0.0,0.3597122302158274,4.436450839328537,76337589.0,1931615249.0,1614061004.0,301016632.0,3923030474.0,723479406.0,4646509.88,64804.88,Indústrias de transformação,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",54714511.0,8232,1004,2359,1214,12.196307094266276,28.656462585034014,14.747327502429544,6225.0,29.0,0.465863453815261,243.0,3.903614457831325,Secretaria exclusiva,Sim,2875,2003,Paritário,Sim,Sim,Sim,Sim,12,40,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,2017,Sim,12,Sim,2017,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Sim,20,58,32,88,30,Sim,18,26,Não,-,-,-,-,-,-,Não,Não,Sim,Não,Não,-,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,-,Não,Não,Sim,Não,Não,Não,-,Não,Não,Na equipe de Saúde da Família responsável pelo paciente,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,-,-,Sim,2,Sim,1,0,1,0,0,0,Não,-,Não,-,Sim,Sim,Sim,Sim,-,Amparo,AMPARO,N,N,N,35,3590,3512,35900,,,-22.701,-46.764,674.0,446009.0,350190,SP,35,SAO PAULO,"-22.701,-46.764"
3575,350210,57157,6.0,667.0,583.0,53.0,530,9.0,9.0,4.0,9.0,1.0,1.0,20.0,8.995502248875562,87.40629685157421,7.946026986506746,0.9272705005511136,0.0157461028395472,15.746102839547213,6.99826792868765,15.746102839547213,149.92503748125935,0.1499250374812593,2.998500749625187,99992823.0,406638.41,1029211083.0,238114694.0,1773957009.0,148529322.0,1922486331.0,33661.69,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Indústrias de transformação,31061021.0,14207,1819,6675,1367,12.803547546983882,46.98388118533117,9.6220173154079,3268.0,67.0,2.050183598531212,465.0,14.228886168910648,Secretaria exclusiva,Sim,1570,1994,Paritário,Não,Não,Não,Sim,11,32,Não,Sim,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,Sim,2015,Sim,11,Sim,2018,Não,Não,-,-,-,-,-,-,-,Não,Sim,Sim,Sim,Não,-,Não,-,Não,Não,-,Sim,1,Não,-,Não,-,Sim,-,Sim,11,14,12,96,11,Sim,4,4,Não,-,-,-,-,-,-,Não,Não,Sim,Não,Não,-,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,-,Não,-,-,-,-,-,Sim,Não,Sim,Em setor específico na Unidade Básica de Saúde,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,-,-,Sim,1,Sim,0,1,0,1,0,0,Não,-,Não,-,Sim,Sim,Sim,Sim,-,Andradina,ANDRADINA,N,N,N,35,3590,3506,35900,,,-20.896,-51.379,405.0,960095.0,350210,SP,35,SAO PAULO,"-20.896,-51.379"
3576,350230,6724,1.0,82.0,65.0,7.0,49,0.0,1.0,0.0,0.0,0.0,1.0,5.0,12.195121951219512,79.26829268292683,8.536585365853659,0.7287328970850684,0.0,14.8720999405116,0.0,0.0,0.0,1.2195121951219512,6.097560975609756,73714812.0,25047044.0,41776705.0,32282175.0,172820736.0,7065442.0,179886178.0,27144.44,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",26078276.0,2528,192,1272,431,7.59493670886076,50.31645569620253,17.049050632911392,,,,,,"Setor subordinado diretamente
à chefia do Executivo",Sim,1203,1991,Tem maior representação governamental,Sim,Não,Sim,Não,4,8,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,-,Não,-,Sim,2013,Não,Não,-,-,-,-,-,-,-,Não,Sim,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,-,Sim,2,2,2,16,2,Sim,1,3,Não,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,-,Sim,-,-,-,-,-,Sim,Sim,Sim,Em setor específico na Unidade Básica de Saúde,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,-,-,Não,-,Não,-,-,-,-,-,-,Não,-,Não,-,Não,Sim,Não,Não,-,Anhembi,ANHEMBI,N,N,N,35,3590,3511,35900,,,-22.789,-48.127,472.0,736463.0,350230,SP,35,SAO PAULO,"-22.789,-48.127"
